accession,disease_name,omim_id
HMDB0001212,,
HMDB0001213,,
HMDB0001216,,
HMDB0001217,,
HMDB0001218,,
HMDB0001219,,
HMDB0001220,Amyotrophic lateral sclerosis;Hydrocephalus;Meningitis,105400;NA;NA
HMDB0001227,Colorectal cancer,114500
HMDB0001228,,
HMDB0001229,,
HMDB0001231,,
HMDB0001232,,
HMDB0001235,,
HMDB0001238,Schizophrenia,181500
HMDB0001240,,
HMDB0001241,,
HMDB0001242,,
HMDB0001243,,
HMDB0001244,,
HMDB0001245,,
HMDB0001247,Alzheimer's disease;Multiple sclerosis;Parkinson's disease,104300;126200;168600
HMDB0001248,Anorexia nervosa;Colorectal cancer,606788;114500
HMDB0001250,,
HMDB0001251,Colorectal cancer,114500
HMDB0001252,,
HMDB0001253,,
HMDB0001254,,
HMDB0001256,Uremia;Leukemia,NA;NA
HMDB0001257,Uremia;Colorectal cancer;Crohn's disease;Ulcerative colitis;Alzheimer's disease;Frontotemporal dementia;Lewy body disease;Tooth Decay;Leukemia,NA;114500;266600;NA;104300;600274;NA;NA;NA
HMDB0001259,,
HMDB0001260,,
HMDB0001261,,
HMDB0001262,Peritoneal dialysis,NA
HMDB0001263,Pyridoxine-dependent epilepsy,266100
HMDB0001264,,
HMDB0001265,,
HMDB0001266,Colorectal cancer;Prostate cancer,114500;176807
HMDB0001267,,
HMDB0001268,,
HMDB0001269,,
HMDB0001270,Schizophrenia,181500
HMDB0001271,,
HMDB0001272,,
HMDB0001273,Rachialgia;Subarachnoid hemorrhage;Epilepsy;Stroke;Neuroinfection,NA;105800;NA;601367;NA
HMDB0001274,,
HMDB0001275,,
HMDB0001276,Perillyl alcohol administration for cancer treatment;Thyroid cancer ;Leukemia,NA;NA;NA
HMDB0001278,,
HMDB0001280,,
HMDB0001282,Hemodialysis,NA
HMDB0001285,,
HMDB0001286,,
HMDB0001290,,
HMDB0001291,,
HMDB0001292,,
HMDB0001294,,
HMDB0001295,,
HMDB0001296,Peritoneal dialysis,NA
HMDB0001297,Smoking,NA
HMDB0001299,,
HMDB0001301,,
HMDB0001302,Alzheimer's disease;Multiple sclerosis;Parkinson's disease,104300;126200;168600
HMDB0001304,Heart failure,NA
HMDB0001308,,
HMDB0001309,,
HMDB0001310,Early preeclampsia;Pregnancy;Late-onset preeclampsia;Propionic acidemia,NA;NA;NA;606054
HMDB0001311,Diabetes mellitus type 2;Schizophrenia;D-Lactic Acidosis;D-Lactic Acidosis and Short Bowel Syndrome,125853;181500;245450;NA
HMDB0001312,,
HMDB0001313,,
HMDB0001314,Headache,NA
HMDB0001315,"Glycerol intolerance syndrome;Cerebrotendinous xanthomatosis;Fructose intolerance, hereditary",NA;213700;229600
HMDB0001316,Colorectal cancer,114500
HMDB0001318,,
HMDB0001319,Obesity,601665
HMDB0001320,,
HMDB0001321,,
HMDB0001322,,
HMDB0001324,,
HMDB0001325,Colorectal cancer,114500
HMDB0001327,,
HMDB0001328,,
HMDB0001329,,
HMDB0001330,,
HMDB0001333,Multiple sclerosis;Parkinson's disease;Hypermanganesemia with dystonia 1;Hypermanganesemia with dystonia 2;Alzheimer's disease;Amyotrophic lateral sclerosis,126200;168600;613280;617013;104300;105400
HMDB0001335,,
HMDB0001336,Encephalitis;Hypothyroidism;Alzheimer's disease;Colorectal cancer,NA;NA;104300;114500
HMDB0001337,,
HMDB0001338,,
HMDB0001339,,
HMDB0001340,,
HMDB0001341,Subarachnoid hemorrhage;Epilepsy;Neuroinfection;Rachialgia;Stroke;Eosinophilic esophagitis,105800;NA;NA;NA;601367;610247
HMDB0001342,,
HMDB0001343,,
HMDB0001345,,
HMDB0001346,,
HMDB0001347,,
HMDB0001348,Obesity;Colorectal cancer;Eosinophilic esophagitis,601665;114500;610247
HMDB0001349,,
HMDB0001351,,
HMDB0001352,Colorectal cancer,114500
HMDB0001353,,
HMDB0001354,,
HMDB0001355,,
HMDB0001356,,
HMDB0001358,,
HMDB0001359,,
HMDB0001361,Smoking,NA
HMDB0001362,,
HMDB0001364,,
HMDB0001365,,
HMDB0001366,,
HMDB0001367,,
HMDB0001368,Beta-mercaptolactate-cysteine Disulfiduria,249650
HMDB0001369,Perillyl alcohol administration for cancer treatment;Pancreatic cancer;Periodontal disease,NA;260350;170650
HMDB0001370,Colorectal cancer,114500
HMDB0001371,Pregnancy,NA
HMDB0001372,Cerebrocortical degeneration;Alzheimer's disease,NA;104300
HMDB0001373,,
HMDB0001374,,
HMDB0001375,,
HMDB0001376,,
HMDB0001377,,
HMDB0001379,,
HMDB0001380,,
HMDB0001381,,
HMDB0001382,,
HMDB0001383,,
HMDB0001385,,
HMDB0001387,,
HMDB0001388,Hypertension;Essential hypertension;Major depressive disorder;Isovaleric acidemia;Colorectal cancer;Thyroid cancer ,145500;NA;608516;243500;114500;NA
HMDB0001389,Uremia,NA
HMDB0001390,Smoking,NA
HMDB0001391,,
HMDB0001392,Colorectal cancer,114500
HMDB0001394,,
HMDB0001396,Rett syndrome;AIDS;Cerebral folate transport deficiency,312750;NA;613068
HMDB0001397,,
HMDB0001398,Enteritis;Perillyl alcohol administration for cancer treatment,NA;NA
HMDB0001399,,
HMDB0001401,Colorectal cancer;Alzheimer's disease;Frontotemporal dementia;Lewy body disease;Eosinophilic esophagitis,114500;104300;600274;NA;610247
HMDB0001403,Subarachnoid hemorrhage;Hydrocephalus;Meningitis;Duchenne Muscular Dystrophy,105800;NA;NA;310200
HMDB0001405,,
HMDB0001406,Uremia;Crohn's disease;Ulcerative colitis;Diverticular disease;Colorectal cancer,NA;266600;NA;NA;114500
HMDB0001409,,
HMDB0001410,,
HMDB0001411,,
HMDB0001412,,
HMDB0001413,,
HMDB0001414,Uremia;Irritable bowel syndrome;Ulcerative colitis;Crohn's disease;Perillyl alcohol administration for cancer treatment;Periodontal disease;Alzheimer's disease;Frontotemporal dementia;Lewy body disease;Pancreatic cancer;Leukemia;Eosinophilic esophagitis;Colorectal cancer,NA;NA;NA;266600;NA;170650;104300;600274;NA;260350;NA;610247;114500
HMDB0001416,,
HMDB0001417,,
HMDB0001419,Hypercholesterolemia;Alzheimer's disease;Demyelinating polyneuropathy;Subarachnoid hemorrhage;Meningitis;Neuroborreliosis;Mild cognitive impairment;Multiple sclerosis;Inflammatory bowel disease,NA;104300;NA;105800;NA;NA;NA;126200;NA
HMDB0001420,Anephric patients,NA
HMDB0001421,,
HMDB0001422,,
HMDB0001423,,
HMDB0001424,,
HMDB0001425,Obesity;X-linked ichthyosis,601665;308100
HMDB0001426,,
HMDB0001427,,
HMDB0001429,"Hemodialysis;Hypophosphatemia;Bartter Syndrome, Type 4A, Neonatal, with Sensorineural Deafness;Fanconi syndrome;Hyperphosphatasia;Hypoparathyroidism-retardation-dysmorphism syndrome;Hypophosphatasia;Oculocerebrorenal syndrome;Colorectal cancer;Supragingival Plaque",NA;NA;602522;NA;239000;241410;241500;309000;114500;NA
HMDB0001430,,
HMDB0001431,"Epilepsy, early-onset, vitamin B6-dependent",617290
HMDB0001432,Colorectal cancer,114500
HMDB0001433,,
HMDB0001434,"Aromatic L-amino acid decarboxylase deficiency;Pyridoxamine 5-prime-phosphate oxidase deficiency;Sepiapterin reductase deficiency;Epilepsy, early-onset, vitamin B6-dependent",608643;610090;182125;617290
HMDB0001438,Anephric patients;Smith-Lemli-Opitz syndrome;Hyperphosphatasia;Nephrotic syndrome,NA;270400;239000;NA
HMDB0001439,,
HMDB0001440,,
HMDB0001441,,
HMDB0001442,,
HMDB0001443,,
HMDB0001444,,
HMDB0001445,,
HMDB0001448,Metastatic melanoma;Molybdenum cofactor deficiency,NA;NA
HMDB0001449,Alcoholism;Prepartum depression;Major depressive disorder,NA;NA;608516
HMDB0001451,,
HMDB0001452,Coronary heart disease;Acute Lymphoblastic Leukemia;Head injury;Hepatocellular carcinoma,NA;NA;NA;114550
HMDB0001453,Uremia;Ulcerative colitis;Crohn's disease;Beta-mercaptolactate-cysteine Disulfiduria,NA;NA;266600;249650
HMDB0001454,,
HMDB0001455,Premenstrual dysphoric disorder ;Schizophrenia,NA;181500
HMDB0001457,,
HMDB0001458,,
HMDB0001459,,
HMDB0001460,,
HMDB0001466,,
HMDB0001469,,
HMDB0001470,,
HMDB0001471,Prepartum depression;Schizophrenia,NA;181500
HMDB0001472,,
HMDB0001473,Transaldolase deficiency;Alzheimer's disease;Frontotemporal dementia;Lewy body disease,606003;104300;600274;NA
HMDB0001474,,
HMDB0001475,Parkinson's disease,168600
HMDB0001476,Stroke;Nicotinamide Adenine Dinucleotide Deficiency,601367;NA
HMDB0001478,,
HMDB0001480,,
HMDB0001481,,
HMDB0001483,,
HMDB0001484,,
HMDB0001485,Asthma;Ulcerative colitis;Nonalcoholic fatty liver disease;Autism;Pervasive developmental disorder not otherwise specified,600807;NA;NA;209850;NA
HMDB0001487,Nicotinamide Adenine Dinucleotide Deficiency,NA
HMDB0001488,Alcoholism;Colorectal cancer;Crohn's disease;Ulcerative colitis;Attachment loss;Missing teeth;Periodontal Probing Depth,NA;114500;266600;NA;NA;NA;NA
HMDB0001489,,
HMDB0001490,Multi-infarct dementia;Cortical myoclonus;Aromatic L-amino acid decarboxylase deficiency;Cognitive disorders;Schizophrenia;Epilepsy;Panic disorder;Olivopontocerebral atrophy;Hereditary spastic paraplegia;Friedreich's ataxia;Major depressive disorder;Sepiapterin reductase deficiency;Parkinson's disease;Brunner Syndrome,NA;NA;608643;NA;181500;NA;167870;NA;182601;229300;608516;182125;168600;300615
HMDB0001491,"Rheumatoid arthritis;Hypophosphatasia;Odontohypophosphatasia;Celiac disease;Pyridoxamine 5-prime-phosphate oxidase deficiency;Epilepsy, early-onset, vitamin B6-dependent",180300;241500;146300;212750;610090;617290
HMDB0001492,Prostate cancer;Endometrial cancer;Schizophrenia;Colorectal cancer,176807;608089;181500;114500
HMDB0001493,,
HMDB0001494,,
HMDB0001495,,
HMDB0001496,Cirrhosis;Multiple sclerosis;Colorectal cancer,NA;126200;114500
HMDB0001497,,
HMDB0001498,,
HMDB0001499,,
HMDB0001501,,
HMDB0001504,,
HMDB0001505,Autism;Pervasive developmental disorder not otherwise specified;Celiac disease,209850;NA;212750
HMDB0001507,,
HMDB0001508,,
HMDB0001509,Sjögren-Larsson syndrome,270200
HMDB0001510,,
HMDB0001511,Eosinophilic esophagitis,610247
HMDB0001512,,
HMDB0001513,,
HMDB0001514,Colorectal cancer,114500
HMDB0001517,,
HMDB0001518,,
HMDB0001520,Anorexia nervosa;Metastatic melanoma;Colorectal cancer,606788;NA;114500
HMDB0001521,,
HMDB0001522,Chronic renal failure;Uremia;Pancreatic cancer;Eosinophilic esophagitis,NA;NA;260350;610247
HMDB0001525,,
HMDB0001526,,
HMDB0001527,Colorectal cancer;Cirrhosis,114500;NA
HMDB0001530,,
HMDB0001532,Adenosine deaminase deficiency,102700
HMDB0001533,,
HMDB0001534,,
HMDB0001536,,
HMDB0001537,,
HMDB0001538,,
HMDB0001539,Essential hypertension;Kidney disease;Uremia;Duchenne Muscular Dystrophy;Colorectal cancer;Autosomal  dominant polycystic kidney disease,NA;NA;NA;310200;114500;601313
HMDB0001541,,
HMDB0001542,,
HMDB0001543,,
HMDB0001544,,
HMDB0001545,"Sickle cell anemia;Epilepsy, early-onset, vitamin B6-dependent;Colorectal cancer",603903;617290;114500
HMDB0001546,,
HMDB0001547,Depersonalization disorder,NA
HMDB0001548,Ulcerative colitis;Crohn's disease;Alzheimer's disease;Frontotemporal dementia;Lewy body disease,NA;266600;104300;600274;NA
HMDB0001550,,
HMDB0001551,,
HMDB0001552,,
HMDB0001553,,
HMDB0001554,,
HMDB0001555,,
HMDB0001557,,
HMDB0001562,,
HMDB0001563,Kidney disease;Uremia;Colorectal cancer;Perillyl alcohol administration for cancer treatment,NA;NA;114500;NA
HMDB0001564,,
HMDB0001565,Lung Cancer;Multi-infarct dementia;Alzheimer's disease;Colorectal cancer,211980;NA;104300;114500
HMDB0001566,,
HMDB0001568,,
HMDB0001569,,
HMDB0001570,,
HMDB0001586,Alzheimer's disease;Frontotemporal dementia;Lewy body disease,104300;600274;NA
HMDB0001587,,
HMDB0001624,,
HMDB0001644,Colorectal cancer;Ribose-5-phosphate isomerase deficiency;Pentosuria,114500;608611;260800
HMDB0001645,Colorectal cancer,114500
HMDB0001659,Kidney disease;Alcoholism;Pancreatic cancer;Early preeclampsia;Pregnancy;Late-onset preeclampsia;Asthma;Hepatic encephalopathy;Ulcerative colitis;Nonalcoholic fatty liver disease;Celiac disease;Crohn's disease;Irritable bowel syndrome;Paraquat poisoning;Diabetes mellitus type 2;Lung Cancer;Perillyl alcohol administration for cancer treatment;Eosinophilic esophagitis,NA;NA;260350;NA;NA;NA;600807;NA;NA;NA;212750;266600;NA;NA;125853;211980;NA;610247
HMDB0001713,Eosinophilic esophagitis,610247
HMDB0001721,,
HMDB0001786,,
HMDB0001830,"Pregnancy;Alcoholism;Major depressive disorder;Pregnene hydroxylation deficiency ;Schizophrenia;Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency;Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis;Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete",NA;NA;608516;NA;181500;201810;201750;613743
HMDB0001833,,
HMDB0001842,Cirrhosis;Chronic renal failure;Uremia,NA;NA;NA
HMDB0001843,,
HMDB0001844,Irritable bowel syndrome;Ulcerative colitis;Colorectal cancer;Refsum's disease;Eosinophilic esophagitis;Ethylmalonic encephalopathy;Isovaleric acidemia;Short Chain Acyl-Coa Dehydrogenase Deficiency;Medium Chain Acyl-CoA Dehydrogenase Deficiency,NA;NA;114500;266500;610247;602473;243500;NA;201450
HMDB0001846,,
HMDB0001847,Head injury;Colorectal cancer;Metastatic melanoma;Asthma;Eosinophilic esophagitis,NA;114500;NA;600807;610247
HMDB0001848,,
HMDB0001849,,
HMDB0001850,,
HMDB0001851,Ribose-5-phosphate isomerase deficiency;Uremia;Alzheimer's disease;Colorectal cancer,608611;NA;104300;114500
HMDB0001852,,
HMDB0001854,,
HMDB0001855,Leukemia;Schizophrenia;Parkinson's disease,NA;181500;168600
HMDB0001856,Colorectal cancer,114500
HMDB0001857,Inflammatory bowel disease;Colorectal cancer;Asthma;Eosinophilic esophagitis,NA;114500;600807;610247
HMDB0001858,Hemodialysis;Uremia;Ulcerative colitis;Irritable bowel syndrome;Celiac disease;Nonalcoholic fatty liver disease;Diarrhoea predominant irritable bowel syndrome;Crohn's disease;Autism;Pervasive developmental disorder not otherwise specified;Enteritis;Clostridium difficile infection;Eosinophilic esophagitis;Colorectal cancer,NA;NA;NA;NA;212750;NA;NA;266600;209850;NA;NA;NA;610247;114500
HMDB0001859,Colorectal cancer;Eosinophilic esophagitis,114500;610247
HMDB0001860,Traumatic brain injury;Head injury;Colorectal cancer;Asthma;Eosinophilic esophagitis,NA;NA;114500;600807;610247
HMDB0001861,,
HMDB0001862,,
HMDB0001863,,
HMDB0001864,,
HMDB0001865,,
HMDB0001866,,
HMDB0001867,Eosinophilic esophagitis,610247
HMDB0001868,,
HMDB0001870,Schizophrenia;Asthma;Colorectal cancer;Metastatic melanoma;Perillyl alcohol administration for cancer treatment;Eosinophilic esophagitis,181500;600807;114500;NA;NA;610247
HMDB0001871,Eosinophilic esophagitis,610247
HMDB0001873,Early preeclampsia;Pregnancy;Irritable bowel syndrome;Ulcerative colitis;Nonalcoholic fatty liver disease;Colorectal cancer;Celiac disease;Crohn's disease;Eosinophilic esophagitis,NA;NA;NA;NA;NA;114500;212750;266600;610247
HMDB0001874,,
HMDB0001875,Alcoholism;Ulcerative colitis;Nonalcoholic fatty liver disease;Diarrhoea predominant irritable bowel syndrome;Crohn's disease;Diverticular disease;Rheumatoid arthritis;Eosinophilic esophagitis,NA;NA;NA;NA;266600;NA;180300;610247
HMDB0001876,,
HMDB0001877,,
HMDB0001878,Eosinophilic esophagitis,610247
HMDB0001879,,
HMDB0001881,Cirrhosis;Early preeclampsia;Pregnancy;Late-onset preeclampsia;Asthma;Colorectal cancer;Lung Cancer;Eosinophilic esophagitis,NA;NA;NA;NA;600807;114500;211980;610247
HMDB0001882,Colorectal cancer;Autosomal  dominant polycystic kidney disease,114500;601313
HMDB0001885,Myocardial infarction;Asthma;Eosinophilic esophagitis,NA;600807;610247
HMDB0001886,Colorectal cancer;Asthma;Autosomal  dominant polycystic kidney disease;Eosinophilic esophagitis,114500;600807;601313;610247
HMDB0001888,Smoking,NA
HMDB0001889,Traumatic brain injury;Head injury;Colorectal cancer;Asthma,NA;NA;114500;600807
HMDB0001890,,
HMDB0001891,,
HMDB0001892,,
HMDB0001893,Endometrial cancer;Abetalipoproteinemia;Cerebrotendinous xanthomatosis;Vitamin E deficiency;Parkinson's disease;Colorectal cancer,608089;200100;213700;277460;168600;114500
HMDB0001894,,
HMDB0001895,Mitochondrial complex I deficiency due to ACAD9 deficiency;Colorectal cancer;Autosomal  dominant polycystic kidney disease;Eosinophilic esophagitis,611126;114500;601313;610247
HMDB0001896,Leukemia,NA
HMDB0001897,Migraine;Vitamin B12 deficiency;Spina Bifida;Fibromyalgia;Sleep apnea;Alzheimer's disease;Narcolepsy,157300;NA;182940;NA;NA;104300;161400
HMDB0001898,,
HMDB0001900,Neuroblastoma,256700
HMDB0001901,,
HMDB0001902,,
HMDB0001903,,
HMDB0001904,Oxidative stress;Meningitis;Head injury;Hypoxic-ischemic encephalopathy,NA;NA;NA;NA
HMDB0001906,Crohn's disease;Ulcerative colitis,266600;NA
HMDB0001908,,
HMDB0001913,,
HMDB0001915,,
HMDB0001917,Heart failure,NA
HMDB0001919,,
HMDB0001920,Peripheral neuropathy,NA
HMDB0001921,Colorectal cancer,114500
HMDB0001922,,
HMDB0001923,Colorectal cancer,114500
HMDB0001924,,
HMDB0001925,Eosinophilic esophagitis,610247
HMDB0001926,Prostate cancer,176807
HMDB0001927,,
HMDB0001928,Colorectal cancer,114500
HMDB0001929,Tuberculosis;Colorectal cancer,607948;114500
HMDB0001930,,
HMDB0001931,Colorectal cancer,114500
HMDB0001932,Colorectal cancer,114500
HMDB0001933,Colorectal cancer,114500
HMDB0001934,Smoking,NA
HMDB0001935,,
HMDB0001936,,
HMDB0001937,,
HMDB0001938,,
HMDB0001939,,
HMDB0001940,,
HMDB0001941,,
HMDB0001942,,
HMDB0001943,Colorectal cancer,114500
HMDB0001944,,
HMDB0001952,,
HMDB0001954,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency;Colorectal cancer,605911;114500
HMDB0001955,,
HMDB0001956,,
HMDB0001957,,
HMDB0001958,,
HMDB0001959,,
HMDB0001960,Alzheimer's disease;Multiple sclerosis;Parkinson's disease,104300;126200;168600
HMDB0001961,,
HMDB0001964,Colorectal cancer,114500
HMDB0001965,,
HMDB0001966,,
HMDB0001967,"Bartter Syndrome, Type 3;Fructose-1,6-diphosphatase deficiency;Long-chain Fatty Acids, Defect in Transport of;Oculocerebrorenal syndrome;Pearson Syndrome",607364;229700;603376;309000;557000
HMDB0001968,,
HMDB0001970,,
HMDB0001972,,
HMDB0001973,,
HMDB0001975,,
HMDB0001976,Isovaleric acidemia;Colorectal cancer;Thyroid cancer ,243500;114500;NA
HMDB0001977,,
HMDB0001978,,
HMDB0001979,,
HMDB0001980,Motor neuron disease,NA
HMDB0001981,,
HMDB0001982,Obesity;Colorectal cancer,601665;114500
HMDB0001983,,
HMDB0001984,,
HMDB0001986,,
HMDB0001987,tert-Amyl-methyl ether exposed;Eosinophilic esophagitis,NA;610247
HMDB0001988,Colorectal cancer,114500
HMDB0001989,Vessel occlusion;Alzheimer's disease;Multiple sclerosis;Parkinson's disease,NA;104300;126200;168600
HMDB0001991,Colorectal cancer;Asthma,114500;600807
HMDB0001993,Gallbladder disease;Irritable bowel syndrome;Diverticular disease;Ileocystoplasty;Meckels diverticulum;Atrophic gastritis;Crohn's disease;Chronic pancreatitis;Alcoholism,NA;NA;NA;NA;1551;NA;266600;1678;NA
HMDB0001999,Hypertension;Essential hypertension;Major depressive disorder;Isovaleric acidemia;Colorectal cancer,145500;NA;608516;243500;114500
HMDB0002000,Colorectal cancer,114500
HMDB0002001,,
HMDB0002003,Colorectal cancer,114500
HMDB0002004,Major depressive disorder,608516
HMDB0002005,Colorectal cancer;Eosinophilic esophagitis,114500;610247
HMDB0002006,,
HMDB0002007,,
HMDB0002009,,
HMDB0002011,Isovaleric acidemia,243500
HMDB0002012,Multiple sclerosis,126200
HMDB0002013,Celiac disease;Very Long Chain Acyl-CoA Dehydrogenase Deficiency;Pregnancy;Glutaric aciduria II;Attachment loss;Missing teeth;Periodontal Probing Depth;Eosinophilic esophagitis;Short Chain Acyl-Coa Dehydrogenase Deficiency;Obesity,212750;201475;NA;231680;NA;NA;NA;610247;NA;601665
HMDB0002014,Very Long Chain Acyl-CoA Dehydrogenase Deficiency;Obesity;Eosinophilic esophagitis,201475;601665;610247
HMDB0002015,,
HMDB0002016,,
HMDB0002017,Parkinson's disease;Colorectal cancer,168600;114500
HMDB0002019,Colorectal cancer,114500
HMDB0002020,,
HMDB0002022,,
HMDB0002023,,
HMDB0002024,,
HMDB0002025,,
HMDB0002026,,
HMDB0002027,"Chondrodysplasia punctata, X-linked dominant;Smith-Lemli-Opitz syndrome",302960;270400
HMDB0002028,,
HMDB0002030,Diabetes mellitus type 2;Pregnancy;11-beta-Hydroxylase deficiency;Cirrhosis;Kidney disease,125853;NA;202010;NA;NA
HMDB0002031,Beta-ureidopropionase deficiency,613161
HMDB0002032,Diabetes mellitus type 2;Alzheimer's disease;Colorectal cancer,125853;104300;114500
HMDB0002034,,
HMDB0002035,Colorectal cancer,114500
HMDB0002036,,
HMDB0002038,,
HMDB0002039,Bladder infections,NA
HMDB0002040,,
HMDB0002042,,
HMDB0002043,,
HMDB0002044,Alzheimer's disease;Parkinson's disease,104300;168600
HMDB0002048,Cresol poisoning IBS;Nonalcoholic fatty liver disease,NA;NA
HMDB0002050,,
HMDB0002052,,
HMDB0002053,,
HMDB0002054,,
HMDB0002055,Cresol poisoning IBS;Celiac disease,NA;212750
HMDB0002056,,
HMDB0002057,,
HMDB0002059,,
HMDB0002060,,
HMDB0002061,Biliary atresia;Hepatitis;Diabetes mellitus type 2;Uremia;Epilepsy;Meningitis;Head injury,210500;NA;125853;NA;NA;NA;NA
HMDB0002062,,
HMDB0002063,,
HMDB0002064,Colorectal cancer;Leukemia,114500;NA
HMDB0002065,,
HMDB0002067,,
HMDB0002068,Adrenomyeloneuropathy;Isovaleric acidemia;Colorectal cancer,300100;243500;114500
HMDB0002070,,
HMDB0002071,,
HMDB0002072,,
HMDB0002074,,
HMDB0002077,,
HMDB0002078,,
HMDB0002080,,
HMDB0002082,,
HMDB0002084,,
HMDB0002085,Colorectal cancer,114500
HMDB0002086,,
HMDB0002087,,
HMDB0002088,Colorectal cancer,114500
HMDB0002089,Histidinemia,235800
HMDB0002091,,
HMDB0002092,,
HMDB0002094,,
HMDB0002095,Malonyl-Coa decarboxylase deficiency;Late-onset preeclampsia;Pregnancy,248360;NA;NA
HMDB0002096,Schizophrenia,181500
HMDB0002097,,
HMDB0002098,,
HMDB0002099,,
HMDB0002100,Colorectal cancer,114500
HMDB0002103,Multiple sclerosis;Alzheimer's disease;Demyelinating polyneuropathy;Subarachnoid hemorrhage;Meningitis;Neuroborreliosis;Mild cognitive impairment,126200;104300;NA;105800;NA;NA;NA
HMDB0002104,,
HMDB0002107,Hemodialysis;Colorectal cancer;Eosinophilic esophagitis,NA;114500;610247
HMDB0002108,,
HMDB0002109,,
HMDB0002111,,
HMDB0002113,,
HMDB0002114,,
HMDB0002115,,
HMDB0002117,Colorectal cancer,114500
HMDB0002120,Pregnancy,NA
HMDB0002121,,
HMDB0002122,,
HMDB0002123,Colorectal cancer;Asthma,114500;600807
HMDB0002124,Colorectal cancer,114500
HMDB0002126,,
HMDB0002127,Beta-mercaptolactate-cysteine Disulfiduria,249650
HMDB0002128,,
HMDB0002130,,
HMDB0002132,,
HMDB0002134,,
HMDB0002135,,
HMDB0002137,,
HMDB0002140,,
HMDB0002141,,
HMDB0002144,,
HMDB0002145,,
HMDB0002148,,
HMDB0002149,,
HMDB0002150,,
HMDB0002151,,
HMDB0002152,,
HMDB0002156,,
HMDB0002157,,
HMDB0002158,Porphyria,NA
HMDB0002159,,
HMDB0002160,,
HMDB0002163,Peroxisomal biogenesis defect;Adrenoleukodystrophy;D-Bifunctional protein deficiency,214100;300100;261515
HMDB0002166,,
HMDB0002167,,
HMDB0002168,,
HMDB0002169,3-Hydroxyisobutyryl-coa hydrolase deficiency,250620
HMDB0002170,,
HMDB0002171,,
HMDB0002172,Leukemia,NA
HMDB0002173,Succinic semialdehyde dehydrogenase deficiency,271980
HMDB0002174,Pregnancy;Transcobalamin II deficiency;Cobalamin F disease (cblF);Megaloblastic anemia 1;Multiple sclerosis;Cystic fibrosis,NA;275350;277380;261100;126200;219700
HMDB0002175,Alzheimer's disease;Multiple sclerosis;Parkinson's disease,104300;126200;168600
HMDB0002176,Ulcerative colitis;Irritable bowel syndrome;Celiac disease;Nonalcoholic fatty liver disease;Autism;Pervasive developmental disorder not otherwise specified;Crohn's disease,NA;NA;212750;NA;209850;NA;266600
HMDB0002177,,
HMDB0002178,,
HMDB0002179,Multiple sclerosis,126200
HMDB0002180,,
HMDB0002181,,
HMDB0002182,,
HMDB0002183,Hypertension;Essential hypertension;Major depressive disorder;Rhizomelic chondrodysplasia punctata;Isovaleric acidemia;Stroke;Colorectal cancer;Thyroid cancer ,145500;NA;608516;215100;243500;601367;114500;NA
HMDB0002184,,
HMDB0002185,,
HMDB0002186,Isovaleric acidemia,243500
HMDB0002189,Perillyl alcohol administration for cancer treatment;Thyroid cancer ;Leukemia,NA;NA;NA
HMDB0002190,,
HMDB0002193,,
HMDB0002194,,
HMDB0002195,,
HMDB0002196,Alzheimer's disease;Multiple sclerosis;Parkinson's disease,104300;126200;168600
HMDB0002197,,
HMDB0002198,,
HMDB0002199,Irritable bowel syndrome;Ulcerative colitis;Colorectal cancer;Attachment loss;Missing teeth;Periodontal Probing Depth;Supragingival Plaque,NA;NA;114500;NA;NA;NA;NA
HMDB0002200,Eczema;Leukotriene C4-Synthesis Deficiency;Sjögren-Larsson syndrome,603165;614037;270200
HMDB0002201,,
HMDB0002202,,
HMDB0002203,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency;Colorectal cancer;3-Hydroxydicarboxylic aciduria,605911;114500;NA
HMDB0002204,,
HMDB0002205,,
HMDB0002207,,
HMDB0002208,,
HMDB0002209,Ileostomy,NA
HMDB0002210,,
HMDB0002211,,
HMDB0002212,Schizophrenia;Colorectal cancer,181500;114500
HMDB0002214,,
HMDB0002215,,
HMDB0002217,,
HMDB0002219,,
HMDB0002220,,
HMDB0002221,,
HMDB0002222,,
HMDB0002224,,
HMDB0002226,Isovaleric acidemia,243500
HMDB0002227,,
HMDB0002229,,
HMDB0002230,,
HMDB0002231,Schizophrenia;Colorectal cancer,181500;114500
HMDB0002232,,
HMDB0002234,,
HMDB0002235,,
HMDB0002236,,
HMDB0002237,,
HMDB0002238,,
HMDB0002242,,
HMDB0002243,Nicotinamide Adenine Dinucleotide Deficiency;Amyotrophic lateral sclerosis;Sporadic amyotrophic lateral sclerosis;Familial amyotrophic lateral sclerosis,NA;105400;NA;NA
HMDB0002248,,
HMDB0002249,,
HMDB0002250,Celiac disease;Very Long Chain Acyl-CoA Dehydrogenase Deficiency;Pregnancy;Obesity,212750;201475;NA;601665
HMDB0002252,,
HMDB0002255,,
HMDB0002259,Schizophrenia;Colorectal cancer,181500;114500
HMDB0002261,Colorectal cancer,114500
HMDB0002262,,
HMDB0002263,,
HMDB0002264,Colorectal cancer,114500
HMDB0002265,,
