accession,disease_name,omim_id
HMDB0000043,Chronic renal failure;Continuous ambulatory peritoneal dialysis;Hemodialysis;Colorectal cancer;Schizophrenia;Early preeclampsia;Pregnancy;Late-onset preeclampsia;Hypermethioninemia;Crohn's disease;Ulcerative colitis;Perillyl alcohol administration for cancer treatment;Pancreatic cancer;Periodontal disease;Alzheimer's disease;Frontotemporal dementia;Lewy body disease;Lung Cancer;Argininosuccinic aciduria;Propionic acidemia;Phenylketonuria;Maple syrup urine disease;Eosinophilic esophagitis;Dimethylglycine Dehydrogenase Deficiency,NA;NA;NA;114500;181500;NA;NA;NA;613752;266600;NA;NA;260350;170650;104300;600274;NA;211980;207900;606054;261600;248600;610247;605850
HMDB0000044,Hyperoxalemia;Canavan disease;Traumatic brain injury;Meningitis;Eosinophilic esophagitis,NA;271900;NA;NA;610247
HMDB0000045,Crohn's disease;Ulcerative colitis;Metastatic melanoma;Colorectal cancer;Alzheimer's disease;Frontotemporal dementia;Lewy body disease;Attachment loss;Missing teeth;Periodontal Probing Depth,266600;NA;NA;114500;104300;600274;NA;NA;NA;NA
HMDB0000048,,
HMDB0000050,Septic shock;Irritable bowel syndrome;Crohn's disease;Ulcerative colitis;Colorectal cancer;Alzheimer's disease;Frontotemporal dementia;Lewy body disease;Eosinophilic esophagitis;Adenosine kinase deficiency;Adenylosuccinate lyase deficiency,NA;NA;266600;NA;114500;104300;600274;NA;610247;614300;103050
HMDB0000051,"Short bowel syndrome;3-Methyl-crotonyl-glycinuria;Argininosuccinic aciduria;Sulfite oxidase deficiency, ISOLATED;3-Hydroxy-3-methylglutaryl-CoA lyase deficiency;Fumarase deficiency;N-acetylglutamate synthetase deficiency;Citrullinemia type I;Citrullinemia type II, adult-onset;3-Hydroxyacyl-CoA dehydrogenase deficiency;Mitochondrial complex I deficiency due to ACAD9 deficiency;Hyperdibasic aminoaciduria I;Pearson Syndrome;Cutis laxa, autosomal recessive, type IIIA;Metabolic encephalomyopathic crises, recurrent, with rhabdomyolysis, cardiac arrhythmias, and neurodegeneration;Mitochondrial trifunctional protein deficiency;Pyruvate carboxylase deficiency;Carnitine palmitoyltransferase I deficiency;Cerebral creatine deficiency syndrome 2;Infantile Liver Failure Syndrome 2;Long-chain Fatty Acids, Defect in Transport of;Myopathy, lactic acidosis, and sideroblastic anemia 1;Phosphoenolpyruvate Carboxykinase Deficiency 1, Cytosolic",NA;210200;207900;272300;246450;606812;608300;215700;603471;231530;611126;222690;557000;219150;616878;609015;266150;255120;612736;616483;603376;600462;261680
HMDB0000052,Argininosuccinyl-CoA lyase deficiency;Argininemia;Argininosuccinic aciduria,NA;207800;207900
HMDB0000053,"Polycystic ovary syndrome;Cushing's Syndrome;Schizophrenia;Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency;11-beta-Hydroxylase deficiency;21-Hydroxylase deficiency;Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete;Congenital Adrenal Hyperplasia, due to 21-Hydroxylase-Deficiency;X-linked ichthyosis;Lipoid Congenital Adrenal Hyperplasia;Rheumatoid arthritis;Thyroid cancer ;Ovarian cancer",184700;NA;181500;201810;202010;201910;613743;201910;308100;201710;180300;NA;167000
HMDB0000054,"Crohn's disease;Gallbladder disease;Growth hormone deficiency;Crigler-Najjar syndrome type I;Primary hypomagnesemia;Anemia, congenital dyserythropoietic, type II;Lathosterolosis;Glucose-6-phosphate dehydrogenase deficiency;Cholestasis, progressive familial intrahepatic, 1;Donohue Syndrome;Citrullinemia type II, neonatal-onset;Infantile Liver Failure Syndrome 2;Bile Acid Synthesis Defect, Congenital, 1;Lecithin:cholesterol Acyltransferase Deficiency;Wolcott-Rallison syndrome;Cerebral vasospasm;Colorectal cancer",266600;NA;139250;218800;248250;224100;607330;300908;211600;246200;605814;616483;607765;245900;226980;NA;114500
HMDB0000055,,
HMDB0000056,Gaba-transaminase deficiency;Hyper beta-alaninemia;Methylmalonate semialdehyde dehydrogenase deficiency;Colorectal cancer;Crohn's disease;Ulcerative colitis;Perillyl alcohol administration for cancer treatment;Pancreatic cancer;Periodontal disease;Alzheimer's disease;Frontotemporal dementia;Lewy body disease;Dihydropyrimidine dehydrogenase deficiency;Eosinophilic esophagitis,613163;237400;614105;114500;266600;NA;NA;260350;170650;104300;600274;NA;274270;610247
HMDB0000058,Headache;Idiopathic polyneuritis;Hypoxic-ischemic encephalopathy;Meningitis;Crohn's disease;Ulcerative colitis;Chronic renal failure,NA;139393;NA;NA;266600;NA;NA
HMDB0000060,Diabetes mellitus type 2;Schizophrenia;Early preeclampsia;Pregnancy;Late-onset preeclampsia;2-Ketoglutarate dehydrogenase complex deficiency;3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency;Ketoacidosis;Pyruvate dehydrogenase phosphatase deficiency;Anoxia;Glucose transporter type 1 deficiency syndrome;Meningitis;Irritable bowel syndrome;Crohn's disease;Ulcerative colitis;Colorectal cancer;Ketosis;Eosinophilic esophagitis,125853;181500;NA;NA;NA;203740;605911;245050;608782;NA;606777;NA;NA;266600;NA;114500;NA;610247
HMDB0000061,,
HMDB0000062,"Colorectal cancer;Early preeclampsia;Pregnancy;Late-onset preeclampsia;L-2-Hydroxyglutaric aciduria;3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency;3-Hydroxyacyl-CoA dehydrogenase deficiency;3-Hydroxy-3-methylglutaryl-CoA lyase deficiency;2,4-dienoyl-CoA reductase deficiency;Myopathic carnitine deficiency;Carnitine palmitoyltransferase I deficiency;Carnitine transporter defect; primary systemic carnitine deficiency;Methylmalonic aciduria mitochondrial encephelopathy Leigh-like;Mitochondrial trifunctional protein deficiency;Long-chain Fatty Acids, Defect in Transport of;Oculocerebrorenal syndrome;Perillyl alcohol administration for cancer treatment;Periodontal disease;Pancreatic cancer;Attachment loss;Missing teeth;Periodontal Probing Depth;Tooth Decay;Diabetes mellitus type 2;Lung Cancer;Eosinophilic esophagitis;Propionic acidemia;Obesity",114500;NA;NA;NA;236792;605911;231530;246450;616034;212160;255120;212140;NA;609015;603376;309000;NA;170650;260350;NA;NA;NA;NA;125853;211980;610247;606054;601665
